Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
Alex Kovatchev,https://www.cbssports.com/college-basketball/players/29230848/alex-kovatchev/,G,SACST,4,4,25,8.5,13,33,39.4,6,21,28.6,2,3,66.7,4,4,25,5,15,20,5.0,4,4,1,0.3,5,1.3,0.2,4,4,3,0.80,4,4,0,0.00
Alex Leiba,https://www.cbssports.com/college-basketball/players/29559885/alex-leiba/,C,PEPPER,18,1,4.1,0.8,6,11,54.5,0,0,—,2,6,33.3,18,1,4.1,5,7,12,0.7,18,1,2,0.1,3,0.2,0.7,18,1,3,0.20,18,1,1,0.10
Alex McFadden,https://www.cbssports.com/college-basketball/players/29562005/alex-mcfadden/,G,DEL,5,0,1.2,0.6,1,2,50.0,0,1,0.0,1,1,100.0,5,0,1.2,0,0,0,0.0,5,0,0,0.0,1,0.2,0.0,5,0,0,0.00,5,0,0,0.00
Alex Merkviladze,https://www.cbssports.com/college-basketball/players/3177736/alex-merkviladze/,F,LOYMRY,32,32,32,10.3,112,278,40.3,48,143,33.6,56,80,70.0,32,32,32,26,181,207,6.5,32,32,63,2.0,38,1.2,1.7,32,32,17,0.50,32,32,11,0.30
Alex Nokes,https://www.cbssports.com/college-basketball/players/29231400/alex-nokes/,F,LINDEN,4,0,4.5,0.8,1,2,50.0,1,1,100.0,0,0,—,4,0,4.5,1,1,2,0.5,4,0,0,0.0,2,0.5,0.0,4,0,0,0.00,4,0,0,0.00
Alex Raiford,https://www.cbssports.com/college-basketball/players/29284382/alex-raiford/,G,CHIST,16,1,2.4,0.3,1,9,11.1,1,8,12.5,1,2,50.0,16,1,2.4,0,3,3,0.2,16,1,1,0.1,1,0.1,1.0,16,1,1,0.10,16,1,0,0.00
Alex Tchikou,https://www.cbssports.com/college-basketball/players/3177706/alex-tchikou/,F,DTROIT,2,0,2.5,0.0,0,1,0.0,0,0,—,0,0,—,2,0,2.5,0,3,3,1.5,2,0,0,0.0,1,0.5,0.0,2,0,0,0.00,2,0,0,0.00
Alex Tew,https://www.cbssports.com/college-basketball/players/26777849/alex-tew/,C,WEBER,34,19,17.8,4.8,64,114,56.1,0,1,0.0,35,58,60.3,34,19,17.8,43,69,112,3.3,34,19,27,0.8,41,1.2,0.7,34,19,34,1.00,34,19,25,0.70
Alexander Nwagha,https://www.cbssports.com/college-basketball/players/3177851/alexander-nwagha/,F,NEAST,26,2,13.1,2.9,35,57,61.4,0,0,—,6,16,37.5,26,2,13.1,28,46,74,2.8,26,2,21,0.8,19,0.7,1.1,26,2,13,0.50,26,2,22,0.80
Alexis Marmolejos,https://www.cbssports.com/college-basketball/players/29555415/alexis-marmolejos/,G,LAMAR,33,31,30.4,14.5,148,362,40.9,80,208,38.5,104,136,76.5,33,31,30.4,20,89,109,3.3,33,31,68,2.1,60,1.8,1.1,33,31,40,1.20,33,31,2,0.10
Alexis Reyes,https://www.cbssports.com/college-basketball/players/26775629/alexis-reyes/,F,QUINN,30,20,26.4,5.9,61,173,35.3,22,86,25.6,33,40,82.5,30,20,26.4,29,107,136,4.5,30,20,62,2.1,51,1.7,1.2,30,20,29,1.00,30,20,24,0.80
Alfred Worrell Jr.,https://www.cbssports.com/college-basketball/players/29558016/alfred-worrell-jr/,G,USM,32,0,13.6,6.4,67,177,37.9,38,117,32.5,33,38,86.8,32,0,13.6,12,38,50,1.6,32,0,10,0.3,25,0.8,0.4,32,0,16,0.50,32,0,3,0.10
Alfredo Addesa,https://www.cbssports.com/college-basketball/players/29558325/alfredo-addesa/,F,LEHIGH,25,0,8.4,2.8,23,59,39.0,11,33,33.3,13,21,61.9,25,0,8.4,16,36,52,2.1,25,0,8,0.3,12,0.5,0.7,25,0,3,0.10,25,0,6,0.20
Ali Dibba,https://www.cbssports.com/college-basketball/players/26778263/ali-dibba/,G,SILL,33,33,34,17.2,221,451,49.0,34,101,33.7,93,141,66.0,33,33,34,44,113,157,4.8,33,33,67,2.0,62,1.9,1.1,33,33,48,1.50,33,33,4,0.10
Ali Ragab,https://www.cbssports.com/college-basketball/players/29271731/ali-ragab/,C,NAU,20,8,7.2,1.7,14,27,51.9,0,0,—,5,12,41.7,20,8,7.2,23,26,49,2.5,20,8,5,0.3,18,0.9,0.3,20,8,2,0.10,20,8,13,0.70
Alier Maluk,https://www.cbssports.com/college-basketball/players/29557164/alier-maluk/,F,FSU,31,2,10.9,2.7,37,67,55.2,0,4,0.0,10,14,71.4,31,2,10.9,27,35,62,2.0,31,2,6,0.2,23,0.7,0.3,31,2,10,0.30,31,2,14,0.50
Alijah Curry,https://www.cbssports.com/college-basketball/players/29558115/alijah-curry/,F,MANH,17,0,7.1,1.1,8,18,44.4,2,5,40.0,1,2,50.0,17,0,7.1,6,14,20,1.2,17,0,5,0.3,7,0.4,0.7,17,0,3,0.20,17,0,1,0.10
Alijah Martin,https://www.cbssports.com/college-basketball/players/3178228/alijah-martin/,G,FLA,38,36,30.3,14.4,189,418,45.2,79,226,35.0,89,117,76.1,38,36,30.3,46,124,170,4.5,38,36,82,2.2,55,1.4,1.5,38,36,56,1.50,38,36,7,0.20
All Wright,https://www.cbssports.com/college-basketball/players/29559969/all-wright/,G,VALPO,34,31,29.5,15.4,181,445,40.7,67,175,38.3,95,118,80.5,34,31,29.5,16,58,74,2.2,34,31,81,2.4,46,1.4,1.8,34,31,29,0.90,34,31,7,0.20
Allen Mukeba,https://www.cbssports.com/college-basketball/players/28955918/allen-mukeba/,F,OAK,33,33,30.9,14.6,198,348,56.9,0,1,0.0,85,137,62.0,33,33,30.9,96,153,249,7.5,33,33,75,2.3,77,2.3,1.0,33,33,27,0.80,33,33,46,1.40
Allen Myers,https://www.cbssports.com/college-basketball/players/29264859/allen-myers/,G,MANH,2,0,2.5,0.0,0,2,0.0,0,0,—,0,0,—,2,0,2.5,0,0,0,0.0,2,0,1,0.5,0,0.0,—,2,0,0,0.00,2,0,1,0.50
Allen Strothers,https://www.cbssports.com/college-basketball/players/26776967/allen-strothers/,G,ETNST,31,8,19.1,3.5,42,106,39.6,7,31,22.6,18,34,52.9,31,8,19.1,10,40,50,1.6,31,8,78,2.5,42,1.4,1.9,31,8,38,1.20,31,8,2,0.10
Allen Udemadu,https://www.cbssports.com/college-basketball/players/29233416/allen-udemadu/,F,MOST,18,0,5.9,0.8,7,17,41.2,0,3,0.0,1,2,50.0,18,0,5.9,3,13,16,0.9,18,0,2,0.1,12,0.7,0.2,18,0,2,0.10,18,0,6,0.30
Almar Atlason,https://www.cbssports.com/college-basketball/players/29233050/almar-atlason/,F,BRAD,36,12,18.5,5.7,70,172,40.7,46,120,38.3,18,28,64.3,36,12,18.5,15,58,73,2.0,36,12,31,0.9,36,1.0,0.9,36,12,11,0.30,36,12,16,0.40
Alonso Faure,https://www.cbssports.com/college-basketball/players/26547724/alonso-faure/,F,PEPPER,27,0,7.6,2.3,25,47,53.2,0,6,0.0,13,21,61.9,27,0,7.6,22,39,61,2.3,27,0,8,0.3,14,0.5,0.6,27,0,2,0.10,27,0,4,0.10
Alonzo Dodd,https://www.cbssports.com/college-basketball/players/28954004/alonzo-dodd/,G,APPST,29,20,24.4,5.8,58,147,39.5,18,56,32.1,34,52,65.4,29,20,24.4,11,84,95,3.3,29,20,76,2.6,46,1.6,1.7,29,20,26,0.90,29,20,8,0.30
Alpha Chibambe,https://www.cbssports.com/college-basketball/players/29232480/alpha-chibambe/,F,UMBC,5,0,4.2,1.0,2,6,33.3,0,1,0.0,1,1,100.0,5,0,4.2,2,4,6,1.2,5,0,5,1.0,1,0.2,5.0,5,0,0,0.00,5,0,2,0.40
Alphonzo Billups III,https://www.cbssports.com/college-basketball/players/28951802/alphonzo-billups-iii/,G,VCU,23,0,6.9,2.9,25,65,38.5,15,49,30.6,2,2,100.0,23,0,6.9,7,14,21,0.9,23,0,9,0.4,5,0.2,1.8,23,0,7,0.30,23,0,0,0.00
Alston Andrews,https://www.cbssports.com/college-basketball/players/3177982/alston-andrews/,F,DELST,30,30,23.4,3.6,44,100,44.0,0,1,0.0,20,33,60.6,30,30,23.4,53,76,129,4.3,30,30,18,0.6,23,0.8,0.8,30,30,34,1.10,30,30,16,0.50
Alston Mason,https://www.cbssports.com/college-basketball/players/26776970/alston-mason/,G,ARIZST,32,32,36.4,13.8,142,327,43.4,58,150,38.7,101,119,84.9,32,32,36.4,15,66,81,2.5,32,32,128,4.0,69,2.2,1.9,32,32,24,0.80,32,32,7,0.20
Alvaro Cardenas,https://www.cbssports.com/college-basketball/players/26778368/alvaro-cardenas/,G,BOISE,37,37,34.8,11.5,143,339,42.2,54,170,31.8,86,112,76.8,37,37,34.8,15,101,116,3.1,37,37,256,6.9,91,2.5,2.8,37,37,52,1.40,37,37,2,0.10
Alvaro Folgueiras,https://www.cbssports.com/college-basketball/players/29233974/alvaro-folgueiras/,F,ROBERT,35,35,29.3,14.1,176,321,54.8,45,109,41.3,98,125,78.4,35,35,29.3,81,237,318,9.1,35,35,111,3.2,79,2.3,1.4,35,35,49,1.40,35,35,41,1.20
Alvin Stredic,https://www.cbssports.com/college-basketball/players/3148963/alvin-stredic/,F,MVSU,28,27,30.8,9.4,93,227,41.0,0,4,0.0,76,123,61.8,28,27,30.8,45,101,146,5.2,28,27,33,1.2,80,2.9,0.4,28,27,18,0.60,28,27,5,0.20
