Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
Jamarii Thomas,https://www.cbssports.com/college-basketball/players/26778350/jamarii-thomas/,G,SC,28,26,29.8,13.2,107,288,37.2,47,130,36.2,108,147,73.5,28,26,29.8,16,66,82,2.9,28,26,83,3.0,63,2.3,1.3,28,26,35,1.30,28,26,6,0.20
Jamarques Lawrence,https://www.cbssports.com/college-basketball/players/28955177/jamarques-lawrence/,G,RI,31,31,28.6,9.9,100,239,41.8,59,151,39.1,48,55,87.3,31,31,28.6,7,48,55,1.8,31,31,76,2.5,65,2.1,1.2,31,31,26,0.80,31,31,2,0.10
Jameel Brown,https://www.cbssports.com/college-basketball/players/28956080/jameel-brown/,G,TEMPLE,8,0,15.9,5.3,12,31,38.7,10,27,37.0,8,10,80.0,8,0,15.9,2,13,15,1.9,8,0,5,0.6,3,0.4,1.7,8,0,8,1.00,8,0,1,0.10
Jameel Morris,https://www.cbssports.com/college-basketball/players/29231388/jameel-morris/,G,FDU,32,2,18.1,5.3,56,136,41.2,28,88,31.8,28,37,75.7,32,2,18.1,14,42,56,1.8,32,2,28,0.9,31,1.0,0.9,32,2,34,1.10,32,2,1,0.00
Jameel Rideout,https://www.cbssports.com/college-basketball/players/29556312/jameel-rideout/,G,ELON,7,0,9.9,2.9,8,21,38.1,3,12,25.0,1,3,33.3,7,0,9.9,5,2,7,1.0,7,0,5,0.7,7,1.0,0.7,7,0,8,1.10,7,0,0,0.00
James Brown,https://www.cbssports.com/college-basketball/players/29555424/james-brown/,F,UNC,18,0,2.9,1.2,10,14,71.4,0,0,—,1,5,20.0,18,0,2.9,8,7,15,0.8,18,0,0,0.0,4,0.2,0.0,18,0,1,0.10,18,0,0,0.00
James Cooper,https://www.cbssports.com/college-basketball/players/26864727/james-cooper/,F,OREG,6,0,2.2,0.0,0,0,—,0,0,—,0,0,—,6,0,2.2,1,1,2,0.3,6,0,3,0.5,0,0.0,—,6,0,1,0.20,6,0,0,0.00
James Dent Jr.,https://www.cbssports.com/college-basketball/players/29234383/james-dent-jr/,G,NILL,31,31,34.9,14.1,136,351,38.7,74,214,34.6,91,122,74.6,31,31,34.9,21,147,168,5.4,31,31,96,3.1,55,1.8,1.7,31,31,26,0.80,31,31,18,0.60
James Flippin,https://www.cbssports.com/college-basketball/players/29556453/james-flippin/,F,GRAM,30,11,17.5,7.3,85,191,44.5,11,35,31.4,39,58,67.2,30,11,17.5,23,49,72,2.4,30,11,33,1.1,49,1.6,0.7,30,11,8,0.30,30,11,7,0.20
James Henderson Jr.,https://www.cbssports.com/college-basketball/players/28973319/james-henderson-jr/,C,NIAGARA,6,0,3.8,0.3,1,3,33.3,0,0,—,0,2,0.0,6,0,3.8,1,2,3,0.5,6,0,0,0.0,1,0.2,0.0,6,0,1,0.20,6,0,0,0.00
James Jones,https://www.cbssports.com/college-basketball/players/29559063/james-jones/,G,CCTST,23,0,11.5,1.1,9,30,30.0,0,11,0.0,8,10,80.0,23,0,11.5,22,37,59,2.6,23,0,22,1.0,10,0.4,2.2,23,0,6,0.30,23,0,11,0.50
James Joseph,https://www.cbssports.com/college-basketball/players/29252776/james-joseph/,G,LSALLE,8,0,4.1,0.8,2,10,20.0,0,1,0.0,2,2,100.0,8,0,4.1,4,5,9,1.1,8,0,1,0.1,1,0.1,1.0,8,0,2,0.30,8,0,0,0.00
James Mayor,https://www.cbssports.com/college-basketball/players/29557947/james-mayor/,C,EKY,2,0,1.5,0.0,0,0,—,0,0,—,0,0,—,2,0,1.5,0,3,3,1.5,2,0,0,0.0,0,0.0,—,2,0,0,0.00,2,0,0,0.00
James Morrow,https://www.cbssports.com/college-basketball/players/29268460/james-morrow/,F,SCST,30,4,10.1,2.5,25,76,32.9,1,13,7.7,25,30,83.3,30,4,10.1,21,45,66,2.2,30,4,15,0.5,22,0.7,0.7,30,4,5,0.20,30,4,9,0.30
James O'Donnell,https://www.cbssports.com/college-basketball/players/29555958/james-odonnell/,F,SANFRAN,35,0,12.5,2.1,31,54,57.4,0,0,—,13,32,40.6,35,0,12.5,24,66,90,2.6,35,0,16,0.5,27,0.8,0.6,35,0,9,0.30,35,0,15,0.40
James Okonkwo,https://www.cbssports.com/college-basketball/players/26775422/james-okonkwo/,F,AKRON,35,28,18.1,6.9,86,145,59.3,0,0,—,69,103,67.0,35,28,18.1,95,156,251,7.2,35,28,16,0.5,43,1.2,0.4,35,28,19,0.50,35,28,34,1.00
James Patterson,https://www.cbssports.com/college-basketball/players/29556501/james-patterson/,G,IONA,15,12,22.9,9.5,49,140,35.0,11,49,22.4,33,43,76.7,15,12,22.9,41,48,89,5.9,15,12,13,0.9,38,2.5,0.3,15,12,28,1.90,15,12,5,0.30
James Scott,https://www.cbssports.com/college-basketball/players/29233209/james-scott/,F,LVILLE,35,31,23.6,7.1,108,143,75.5,1,6,16.7,30,69,43.5,35,31,23.6,73,139,212,6.1,35,31,49,1.4,35,1.0,1.4,35,31,22,0.60,35,31,30,0.90
James White,https://www.cbssports.com/college-basketball/players/26775878/james-white/,G,NORL,20,19,33.8,19.2,148,345,42.9,30,91,33.0,58,90,64.4,20,19,33.8,23,116,139,7.0,20,19,37,1.9,49,2.5,0.8,20,19,18,0.90,20,19,3,0.20
Jameson O'Toole,https://www.cbssports.com/college-basketball/players/29230752/jameson-otoole/,G,FORD,6,0,3.5,1.3,2,6,33.3,1,3,33.3,3,3,100.0,6,0,3.5,1,0,1,0.2,6,0,1,0.2,1,0.2,1.0,6,0,0,0.00,6,0,0,0.00
Jamichael Davis,https://www.cbssports.com/college-basketball/players/29234617/jamichael-davis/,G,RUT,32,7,17.9,4.6,52,140,37.1,14,42,33.3,28,43,65.1,32,7,17.9,16,33,49,1.5,32,7,55,1.7,16,0.5,3.4,32,7,29,0.90,32,7,9,0.30
Jamichael Stillwell,https://www.cbssports.com/college-basketball/players/29555448/jamichael-stillwell/,F,MILW,31,29,28.1,13.0,146,312,46.8,20,70,28.6,91,162,56.2,31,29,28.1,123,210,333,10.7,31,29,43,1.4,66,2.1,0.7,31,29,40,1.30,31,29,12,0.40
Jamie Bergens,https://www.cbssports.com/college-basketball/players/26540417/jamie-bergens/,G,FAIR,32,30,31.9,9.0,98,280,35.0,38,120,31.7,53,72,73.6,32,30,31.9,17,64,81,2.5,32,30,94,2.9,44,1.4,2.1,32,30,36,1.10,32,30,2,0.10
Jamie Phillips Jr.,https://www.cbssports.com/college-basketball/players/29559741/jamie-phillips-jr/,G,STETSON,25,24,30,11.2,96,213,45.1,25,68,36.8,64,90,71.1,25,24,30,27,79,106,4.2,25,24,50,2.0,36,1.4,1.4,25,24,14,0.60,25,24,2,0.10
Jamie Vinson,https://www.cbssports.com/college-basketball/players/29558742/jamie-vinson/,F,TEXAS,9,0,4.9,2.2,9,12,75.0,1,1,100.0,1,2,50.0,9,0,4.9,2,8,10,1.1,9,0,1,0.1,0,0.0,—,9,0,1,0.10,9,0,3,0.30
Jamil Miller,https://www.cbssports.com/college-basketball/players/29559495/jamil-miller/,G,KENSAW,33,27,23.5,6.8,79,167,47.3,18,60,30.0,47,89,52.8,33,27,23.5,36,122,158,4.8,33,27,20,0.6,24,0.7,0.8,33,27,21,0.60,33,27,15,0.50
Jamil Muttilib,https://www.cbssports.com/college-basketball/players/29557026/jamil-muttilib/,G,APPST,27,3,9.6,2.5,24,71,33.8,14,51,27.5,6,8,75.0,27,3,9.6,14,32,46,1.7,27,3,7,0.3,11,0.4,0.6,27,3,6,0.20,27,3,6,0.20
Jamille Reynolds,https://www.cbssports.com/college-basketball/players/26560047/jamille-reynolds/,F,SFLA,29,25,26.2,12.5,142,268,53.0,4,27,14.8,75,109,68.8,29,25,26.2,51,171,222,7.7,29,25,21,0.7,58,2.0,0.4,29,25,12,0.40,29,25,46,1.60
Jamine Charles,https://www.cbssports.com/college-basketball/players/29557479/jamine-charles/,F,FAMU,31,7,15.1,3.8,46,76,60.5,0,2,0.0,25,41,61.0,31,7,15.1,32,70,102,3.3,31,7,23,0.7,21,0.7,1.1,31,7,6,0.20,31,7,19,0.60
Jamir Simpson,https://www.cbssports.com/college-basketball/players/29233818/jamir-simpson/,G,SUTAH,31,31,32,16.0,163,394,41.4,38,112,33.9,132,165,80.0,31,31,32,34,111,145,4.7,31,31,55,1.8,88,2.8,0.6,31,31,11,0.40,31,31,2,0.10
Jamir Watkins,https://www.cbssports.com/college-basketball/players/26548278/jamir-watkins/,G,FSU,32,32,31,18.4,177,415,42.7,53,165,32.1,183,245,74.7,32,32,31,33,149,182,5.7,32,32,76,2.4,86,2.7,0.9,32,32,38,1.20,32,32,17,0.50
Jamiya Neal,https://www.cbssports.com/college-basketball/players/26775725/jamiya-neal/,G,CREIGH,36,36,34.3,12.0,168,376,44.7,48,154,31.2,49,85,57.6,36,36,34.3,25,196,221,6.1,36,36,158,4.4,85,2.4,1.9,36,36,32,0.90,36,36,21,0.60
Jamond Vincent,https://www.cbssports.com/college-basketball/players/26776148/jamond-vincent/,G,NORL,19,9,24.5,7.8,53,130,40.8,18,50,36.0,24,33,72.7,19,9,24.5,21,46,67,3.5,19,9,27,1.4,27,1.4,1.0,19,9,20,1.10,19,9,11,0.60
Jamyron Keller,https://www.cbssports.com/college-basketball/players/29232600/jamyron-keller/,G,OKLAST,35,26,20.9,5.5,64,182,35.2,35,105,33.3,28,40,70.0,35,26,20.9,13,73,86,2.5,35,26,48,1.4,33,0.9,1.5,35,26,28,0.80,35,26,5,0.10
Jan Vide,https://www.cbssports.com/college-basketball/players/29233563/jan-vide/,G,LOYMRY,32,0,19.4,6.3,76,160,47.5,2,9,22.2,49,67,73.1,32,0,19.4,19,74,93,2.9,32,0,75,2.3,58,1.8,1.3,32,0,22,0.70,32,0,11,0.30
Janko Bulajic,https://www.cbssports.com/college-basketball/players/29066031/janko-bulajic/,F,LAMAR,32,3,9.6,2.1,28,60,46.7,0,0,—,12,20,60.0,32,3,9.6,24,44,68,2.1,32,3,33,1.0,19,0.6,1.7,32,3,9,0.30,32,3,7,0.20
Jao Ituka,https://www.cbssports.com/college-basketball/players/26776910/jao-ituka/,G,JAXST,36,2,18.7,8.7,95,245,38.8,53,151,35.1,69,86,80.2,36,2,18.7,5,49,54,1.5,36,2,29,0.8,30,0.8,1.0,36,2,11,0.30,36,2,3,0.10
Japhet Medor,https://www.cbssports.com/college-basketball/players/28954058/japhet-medor/,G,FORD,33,32,32.8,13.6,126,337,37.4,51,147,34.7,145,175,82.9,33,32,32.8,23,75,98,3.0,33,32,132,4.0,58,1.8,2.3,33,32,53,1.60,33,32,5,0.20
Jaqai Murray,https://www.cbssports.com/college-basketball/players/29594328/jaqai-murray/,F,NCCU,32,12,16.6,6.0,76,148,51.4,1,4,25.0,40,72,55.6,32,12,16.6,54,89,143,4.5,32,12,26,0.8,34,1.1,0.8,32,12,22,0.70,32,12,6,0.20
Jaquan Carlos,https://www.cbssports.com/college-basketball/players/26776595/jaquan-carlos/,G,CUSE,33,21,28.6,6.2,73,180,40.6,17,53,32.1,40,57,70.2,33,21,28.6,11,63,74,2.2,33,21,134,4.1,60,1.8,2.2,33,21,36,1.10,33,21,5,0.20
Jaquan Sanders,https://www.cbssports.com/college-basketball/players/28952825/jaquan-sanders/,G,HOFSTRA,24,13,20,6.2,50,166,30.1,32,116,27.6,16,20,80.0,24,13,20,7,24,31,1.3,24,13,30,1.3,23,1.0,1.3,24,13,12,0.50,24,13,2,0.10
Jaquan Scott,https://www.cbssports.com/college-basketball/players/26777720/jaquan-scott/,F,TXSA,6,3,18.8,7.3,15,36,41.7,4,9,44.4,10,13,76.9,6,3,18.8,14,14,28,4.7,6,3,2,0.3,12,2.0,0.2,6,3,7,1.20,6,3,4,0.70
Jaquel Morris,https://www.cbssports.com/college-basketball/players/28951988/jaquel-morris/,F,STPETE,18,7,14.1,3.3,24,38,63.2,0,0,—,11,15,73.3,18,7,14.1,34,46,80,4.4,18,7,4,0.2,21,1.2,0.2,18,7,10,0.60,18,7,20,1.10
Jared Billups,https://www.cbssports.com/college-basketball/players/26775707/jared-billups/,G,GMASON,34,6,27.3,5.2,53,133,39.8,12,44,27.3,60,75,80.0,34,6,27.3,60,138,198,5.8,34,6,51,1.5,35,1.0,1.5,34,6,54,1.60,34,6,16,0.50
Jared Coleman-Jones,https://www.cbssports.com/college-basketball/players/3142461/jared-coleman-jones/,F,SDGST,29,28,25.5,7.3,79,179,44.1,18,53,34.0,35,59,59.3,29,28,25.5,40,106,146,5.0,29,28,30,1.0,33,1.1,0.9,29,28,18,0.60,29,28,19,0.70
Jared Frey,https://www.cbssports.com/college-basketball/players/28952120/jared-frey/,G,STNYBRK,21,3,22.8,8.3,60,147,40.8,28,82,34.1,26,26,100.0,21,3,22.8,7,32,39,1.9,21,3,26,1.2,21,1.0,1.2,21,3,9,0.40,21,3,2,0.10
Jared Garcia,https://www.cbssports.com/college-basketball/players/3178129/jared-garcia/,F,TULSA,17,0,17.2,9.6,60,129,46.5,14,48,29.2,30,47,63.8,17,0,17.2,14,57,71,4.2,17,0,15,0.9,20,1.2,0.8,17,0,4,0.20,17,0,12,0.70
Jared Harris,https://www.cbssports.com/college-basketball/players/29558412/jared-harris/,G,MEMP,16,0,2.9,0.4,3,5,60.0,1,2,50.0,0,0,—,16,0,2.9,2,3,5,0.3,16,0,1,0.1,6,0.4,0.2,16,0,2,0.10,16,0,0,0.00
Jared Lary,https://www.cbssports.com/college-basketball/players/29559498/jared-lary/,G,DTROIT,9,6,22.8,9.1,32,75,42.7,8,20,40.0,10,15,66.7,9,6,22.8,9,27,36,4.0,9,6,11,1.2,17,1.9,0.6,9,6,11,1.20,9,6,5,0.60
Jared McGregor,https://www.cbssports.com/college-basketball/players/28952372/jared-mcgregor/,G,BYU,4,0,1.8,1.0,1,4,25.0,1,4,25.0,1,2,50.0,4,0,1.8,0,0,0,0.0,4,0,1,0.3,0,0.0,—,4,0,0,0.00,4,0,0,0.00
Jaren Johnson,https://www.cbssports.com/college-basketball/players/26776184/jaren-johnson/,G,HOW,31,9,23.7,5.9,52,132,39.4,21,60,35.0,57,66,86.4,31,9,23.7,34,82,116,3.7,31,9,68,2.2,48,1.5,1.4,31,9,22,0.70,31,9,6,0.20
Jaret Valencia,https://www.cbssports.com/college-basketball/players/28966623/jaret-valencia/,F,MNMTH,27,13,22.9,6.7,66,150,44.0,14,41,34.1,36,60,60.0,27,13,22.9,39,72,111,4.1,27,13,17,0.6,25,0.9,0.7,27,13,15,0.60,27,13,33,1.20
Jarin Stevenson,https://www.cbssports.com/college-basketball/players/29231787/jarin-stevenson/,F,BAMA,37,22,18.7,5.4,66,154,42.9,31,101,30.7,37,62,59.7,37,22,18.7,36,90,126,3.4,37,22,29,0.8,30,0.8,1.0,37,22,17,0.50,37,22,21,0.60
Jaron Pierre Jr.,https://www.cbssports.com/college-basketball/players/3178546/jaron-pierre-jr/,G,JAXST,36,36,37.6,21.6,266,628,42.4,104,272,38.2,141,174,81.0,36,36,37.6,24,175,199,5.5,36,36,136,3.8,103,2.9,1.3,36,36,24,0.70,36,36,13,0.40
Jaron Rillie,https://www.cbssports.com/college-basketball/players/3177739/jaron-rillie/,G,NCOLO,35,35,32.7,12.1,155,320,48.4,53,131,40.5,62,75,82.7,35,35,32.7,17,178,195,5.6,35,35,162,4.6,64,1.8,2.5,35,35,35,1.00,35,35,3,0.10
Jarred Hall,https://www.cbssports.com/college-basketball/players/29232483/jarred-hall/,F,MTSU,3,0,5.3,2.7,3,3,100.0,2,2,100.0,0,0,—,3,0,5.3,2,3,5,1.7,3,0,0,0.0,2,0.7,0.0,3,0,0,0.00,3,0,1,0.30
Jarred Hyder,https://www.cbssports.com/college-basketball/players/3141302/jarred-hyder/,G,CPOLY,33,33,32.9,14.5,164,412,39.8,99,279,35.5,51,64,79.7,33,33,32.9,19,95,114,3.5,33,33,105,3.2,83,2.5,1.3,33,33,41,1.20,33,33,0,0.00
Jarrell Love,https://www.cbssports.com/college-basketball/players/29561957/jarrell-love/,F,BCU,22,0,6.6,2.0,17,29,58.6,2,4,50.0,8,17,47.1,22,0,6.6,9,16,25,1.1,22,0,4,0.2,15,0.7,0.3,22,0,4,0.20,22,0,2,0.10
Jarrell Pope,https://www.cbssports.com/college-basketball/players/29252794/jarrell-pope/,G,JMAD,7,0,1.7,0.6,1,4,25.0,0,2,0.0,2,2,100.0,7,0,1.7,1,2,3,0.4,7,0,0,0.0,1,0.1,0.0,7,0,0,0.00,7,0,0,0.00
Jarren Cook,https://www.cbssports.com/college-basketball/players/26542828/jarren-cook/,G,TXARL,6,0,4.5,2.0,4,13,30.8,4,11,36.4,0,0,—,6,0,4.5,0,1,1,0.2,6,0,3,0.5,1,0.2,3.0,6,0,0,0.00,6,0,0,0.00
Jarrett Hensley,https://www.cbssports.com/college-basketball/players/3177987/jarrett-hensley/,F,SILL,33,33,25.3,10.4,115,268,42.9,43,129,33.3,71,98,72.4,33,33,25.3,47,146,193,5.8,33,33,46,1.4,53,1.6,0.9,33,33,13,0.40,33,33,26,0.80
Jarvis Moss,https://www.cbssports.com/college-basketball/players/26775689/jarvis-moss/,G,RADFRD,33,31,29,13.5,142,341,41.6,80,213,37.6,80,95,84.2,33,31,29,12,72,84,2.5,33,31,62,1.9,47,1.4,1.3,33,31,34,1.00,33,31,1,0.00
Jarvis Walker,https://www.cbssports.com/college-basketball/players/26540480/jarvis-walker/,G,IUI,32,29,32.2,15.8,167,426,39.2,61,174,35.1,112,142,78.9,32,29,32.2,23,64,87,2.7,32,29,88,2.8,66,2.1,1.3,32,29,37,1.20,32,29,4,0.10
Jasai Miles,https://www.cbssports.com/college-basketball/players/29234548/jasai-miles/,G,UNF,32,32,31.6,15.4,171,402,42.5,78,233,33.5,72,114,63.2,32,32,31.6,48,171,219,6.8,32,32,60,1.9,61,1.9,1.0,32,32,20,0.60,32,32,15,0.50
Jase Butler,https://www.cbssports.com/college-basketball/players/29559333/jase-butler/,G,WASH,18,0,10.5,1.9,10,40,25.0,8,28,28.6,6,10,60.0,18,0,10.5,10,15,25,1.4,18,0,12,0.7,2,0.1,6.0,18,0,4,0.20,18,0,1,0.10
Jase Richardson,https://www.cbssports.com/college-basketball/players/29557818/jase-richardson/,G,MICHST,36,15,25.2,12.1,144,292,49.3,47,114,41.2,102,122,83.6,36,15,25.2,23,96,119,3.3,36,15,68,1.9,30,0.8,2.3,36,15,30,0.80,36,15,11,0.30
Jasen Brooks,https://www.cbssports.com/college-basketball/players/29231079/jasen-brooks/,G,CALSD,18,0,4.3,2.1,14,35,40.0,9,28,32.1,1,1,100.0,18,0,4.3,4,11,15,0.8,18,0,8,0.4,1,0.1,8.0,18,0,4,0.20,18,0,1,0.10
Jasen Green,https://www.cbssports.com/college-basketball/players/28952951/jasen-green/,F,CREIGH,36,25,20.3,4.9,68,122,55.7,12,45,26.7,29,44,65.9,36,25,20.3,39,77,116,3.2,36,25,37,1.0,33,0.9,1.1,36,25,12,0.30,36,25,16,0.40
Jasin Sinani,https://www.cbssports.com/college-basketball/players/26775602/jasin-sinani/,G,CAMP,24,24,31.8,12.6,94,244,38.5,39,119,32.8,76,96,79.2,24,24,31.8,12,107,119,5.0,24,24,65,2.7,41,1.7,1.6,24,24,30,1.30,24,24,4,0.20
Jasir Tremble,https://www.cbssports.com/college-basketball/players/29555778/jasir-tremble/,G,FRESNO,32,2,16.3,6.3,75,201,37.3,42,111,37.8,9,17,52.9,32,2,16.3,8,22,30,0.9,32,2,28,0.9,34,1.1,0.8,32,2,29,0.90,32,2,1,0.00
Jasman Sangha,https://www.cbssports.com/college-basketball/players/26777639/jasman-sangha/,F,CAN,20,11,24.9,9.2,76,151,50.3,11,27,40.7,20,24,83.3,20,11,24.9,12,56,68,3.4,20,11,21,1.1,36,1.8,0.6,20,11,13,0.70,20,11,14,0.70
Jason Amador,https://www.cbssports.com/college-basketball/players/29563028/jason-amador/,G,GC,12,0,1.7,0.4,2,6,33.3,1,3,33.3,0,2,0.0,12,0,1.7,0,0,0,0.0,12,0,0,0.0,0,0.0,—,12,0,0,0.00,12,0,0,0.00
Jason Asemota,https://www.cbssports.com/college-basketball/players/29556675/jason-asemota/,F,BAYLOR,24,0,6.2,1.6,14,43,32.6,6,24,25.0,4,8,50.0,24,0,6.2,11,24,35,1.5,24,0,5,0.2,3,0.1,1.7,24,0,7,0.30,24,0,4,0.20
Jason Clarke Jr.,https://www.cbssports.com/college-basketball/players/29557509/jason-clarke-jr/,G,APPST,10,0,6.2,1.7,3,12,25.0,2,5,40.0,9,12,75.0,10,0,6.2,0,7,7,0.7,10,0,7,0.7,3,0.3,2.3,10,0,1,0.10,10,0,0,0.00
Jason Drake,https://www.cbssports.com/college-basketball/players/28952147/jason-drake/,G,DREXEL,33,33,26.2,11.1,131,306,42.8,40,101,39.6,64,74,86.5,33,33,26.2,10,88,98,3.0,33,33,102,3.1,67,2.0,1.5,33,33,23,0.70,33,33,1,0.00
Jason Edwards,https://www.cbssports.com/college-basketball/players/29232708/jason-edwards/,G,VANDY,33,24,25.2,17.0,177,407,43.5,65,184,35.3,143,172,83.1,33,24,25.2,6,59,65,2.0,33,24,44,1.3,53,1.6,0.8,33,24,31,0.90,33,24,0,0.00
Jason Fontenet II,https://www.cbssports.com/college-basketball/players/29231217/jason-fontenet-ii/,G,UCSB,34,34,29.5,9.9,109,262,41.6,34,107,31.8,84,109,77.1,34,34,29.5,36,167,203,6.0,34,34,92,2.7,56,1.6,1.6,34,34,29,0.90,34,34,10,0.30
Jason Hart Jr.,https://www.cbssports.com/college-basketball/players/28954028/jason-hart-jr/,G,LNGBCH,12,3,13.1,1.8,7,30,23.3,4,14,28.6,3,7,42.9,12,3,13.1,2,7,9,0.8,12,3,17,1.4,9,0.8,1.9,12,3,8,0.70,12,3,0,0.00
Jason Jackson,https://www.cbssports.com/college-basketball/players/29556375/jason-jackson/,G,GAST,10,0,4.5,1.1,2,9,22.2,1,6,16.7,6,7,85.7,10,0,4.5,0,1,1,0.1,10,0,3,0.3,3,0.3,1.0,10,0,2,0.20,10,0,0,0.00
Jason Murphy,https://www.cbssports.com/college-basketball/players/3141694/jason-murphy/,C,NCAT,12,0,8.5,2.0,10,20,50.0,0,1,0.0,4,9,44.4,12,0,8.5,19,13,32,2.7,12,0,0,0.0,4,0.3,0.0,12,0,1,0.10,12,0,5,0.40
Jason Nelson,https://www.cbssports.com/college-basketball/players/26777519/jason-nelson/,G,YOUNG,32,13,26.4,8.0,84,214,39.3,29,101,28.7,60,79,75.9,32,13,26.4,14,61,75,2.3,32,13,87,2.7,56,1.8,1.6,32,13,30,0.90,32,13,2,0.10
Jason Rivera-Torres,https://www.cbssports.com/college-basketball/players/29232201/jason-rivera-torres/,G,SANFRAN,33,0,7.8,2.4,26,75,34.7,5,27,18.5,21,32,65.6,33,0,7.8,22,55,77,2.3,33,0,14,0.4,15,0.5,0.9,33,0,10,0.30,33,0,9,0.30
Jason Roche,https://www.cbssports.com/college-basketball/players/26777870/jason-roche/,G,RICH,31,26,22.7,6.2,59,144,41.0,53,134,39.6,21,28,75.0,31,26,22.7,6,51,57,1.8,31,26,8,0.3,10,0.3,0.8,31,26,17,0.50,31,26,4,0.10
Jason Schofield,https://www.cbssports.com/college-basketball/players/29232498/jason-schofield/,F,MARIST,28,0,12.7,5.5,71,140,50.7,0,0,—,13,18,72.2,28,0,12.7,46,44,90,3.2,28,0,35,1.3,28,1.0,1.3,28,0,10,0.40,28,0,11,0.40
Jason Simpson,https://www.cbssports.com/college-basketball/players/26807977/jason-simpson/,G,FSU,9,1,1.3,0.4,1,8,12.5,1,4,25.0,1,2,50.0,9,1,1.3,0,0,0,0.0,9,1,0,0.0,2,0.2,0.0,9,1,0,0.00,9,1,0,0.00
Jason Steele,https://www.cbssports.com/college-basketball/players/29234665/jason-steele/,F,LIU,14,0,14.2,3.4,19,48,39.6,4,11,36.4,5,11,45.5,14,0,14.2,25,22,47,3.4,14,0,6,0.4,10,0.7,0.6,14,0,6,0.40,14,0,3,0.20
Jason Umosella,https://www.cbssports.com/college-basketball/players/29556567/jason-umosella/,G,LSALLE,2,0,10.5,6.0,4,8,50.0,3,4,75.0,1,2,50.0,2,0,10.5,0,0,0,0.0,2,0,0,0.0,1,0.5,0.0,2,0,0,0.00,2,0,0,0.00
Jasper Floyd,https://www.cbssports.com/college-basketball/players/29233602/jasper-floyd/,G,NTEXAS,36,36,29.5,9.0,121,287,42.2,24,70,34.3,59,77,76.6,36,36,29.5,11,96,107,3.0,36,36,141,3.9,71,2.0,2.0,36,36,48,1.30,36,36,4,0.10
Jasteven Walker,https://www.cbssports.com/college-basketball/players/28953950/jasteven-walker/,F,ALST,36,18,18.8,5.3,74,179,41.3,21,76,27.6,22,36,61.1,36,18,18.8,55,70,125,3.5,36,18,16,0.4,13,0.4,1.2,36,18,16,0.40,36,18,28,0.80
Javan Buchanan,https://www.cbssports.com/college-basketball/players/29558259/javan-buchanan/,F,BOISE,37,2,20.8,9.6,134,251,53.4,22,69,31.9,65,80,81.3,37,2,20.8,39,101,140,3.8,37,2,22,0.6,31,0.8,0.7,37,2,26,0.70,37,2,21,0.60
Javan Simmons,https://www.cbssports.com/college-basketball/players/28955327/javan-simmons/,F,TOLEDO,33,33,29.4,12.5,144,258,55.8,2,7,28.6,123,165,74.5,33,33,29.4,103,118,221,6.7,33,33,74,2.2,55,1.7,1.3,33,33,19,0.60,33,33,18,0.50
Javarzia Belton,https://www.cbssports.com/college-basketball/players/3178235/javarzia-belton/,C,DELST,10,0,8.2,3.4,15,24,62.5,0,0,—,4,9,44.4,10,0,8.2,10,8,18,1.8,10,0,2,0.2,8,0.8,0.3,10,0,0,0.00,10,0,2,0.20
Javian McCollum,https://www.cbssports.com/college-basketball/players/26776220/javian-mccollum/,G,GATECH,20,11,27.7,11.9,78,182,42.9,34,95,35.8,47,54,87.0,20,11,27.7,4,50,54,2.7,20,11,72,3.6,37,1.9,1.9,20,11,25,1.30,20,11,3,0.20
Javier Ezquerra,https://www.cbssports.com/college-basketball/players/28953743/javier-ezquerra/,G,WAGNER,30,30,34.6,7.1,77,228,33.8,41,140,29.3,19,27,70.4,30,30,34.6,18,91,109,3.6,30,30,138,4.6,56,1.9,2.5,30,30,37,1.20,30,30,0,0.00
Javion Langston,https://www.cbssports.com/college-basketball/players/29558640/javion-langston/,F,SUTAH,2,1,13.5,8.0,6,13,46.2,0,2,0.0,4,5,80.0,2,1,13.5,3,3,6,3.0,2,1,3,1.5,0,0.0,—,2,1,2,1.00,2,1,2,1.00
Javohn Garcia,https://www.cbssports.com/college-basketball/players/26548233/javohn-garcia/,G,MCNSE,35,35,28.9,12.6,143,332,43.1,40,113,35.4,114,141,80.9,35,35,28.9,29,89,118,3.4,35,35,68,1.9,32,0.9,2.1,35,35,54,1.50,35,35,20,0.60
Javon Bennett,https://www.cbssports.com/college-basketball/players/28955333/javon-bennett/,G,DAYTON,34,33,31,11.6,138,316,43.7,71,182,39.0,46,58,79.3,34,33,31,24,67,91,2.7,34,33,73,2.1,37,1.1,2.0,34,33,52,1.50,34,33,7,0.20
Javon Ervin,https://www.cbssports.com/college-basketball/players/29558040/javon-ervin/,G,MOUNT,34,14,15.4,5.1,60,169,35.5,14,52,26.9,38,55,69.1,34,14,15.4,21,54,75,2.2,34,14,35,1.0,50,1.5,0.7,34,14,11,0.30,34,14,4,0.10
