name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
Justin Neely,https://www.on3.com/db/justin-neely-69631/,SF,SR,6-5,200,West Oaks Academy,"(Orlando, FL)",,,Entered,Albany,,https://www.cbssports.com/college-basketball/players/26776406/justin-neely/,F,ALBANY,30,10,25.6,11.5,127,258,49.2,7,33,21.2,84,107,78.5,30,10,25.6,59,155,214,7.1,30,10,45,1.5,40,1.3,1.1,30,10,21,0.70,30,10,5,0.20
Justin Pippen,https://www.on3.com/db/justin-pippen-238538/,SG,FR,6-3,180,Sierra Canyon,"(Chatsworth, CA)",91.44,,Committed,Michigan,California Golden Bears,https://www.cbssports.com/college-basketball/players/29559444/justin-pippen/,G,MICH,28,0,6.7,1.6,12,44,27.3,8,30,26.7,12,14,85.7,28,0,6.7,8,12,20,0.7,28,0,16,0.6,9,0.3,1.8,28,0,6,0.20,28,0,1,0.00
Justin Thomas,https://www.on3.com/db/justin-thomas-69881/,SF,JR,6-6,184,Village Christian Academy,"(Fayetteville, NC)",88.00,,Entered,Florida State,,https://www.cbssports.com/college-basketball/players/28956191/justin-thomas/,G,FSU,32,5,22.1,4.8,57,135,42.2,24,72,33.3,15,27,55.6,32,5,22.1,17,56,73,2.3,32,5,55,1.7,33,1.0,1.7,32,5,33,1.00,32,5,13,0.40
Justin Vander Baan,https://www.on3.com/db/justin-vander-baan-69919/,C,SR,7-0,215,Whitinsville Christian School,"(Whitinsville, MA)",93.96,,Entered,Lafayette,,https://www.cbssports.com/college-basketball/players/3178272/justin-vander-baan/,C,LAFAY,28,27,29.9,12.7,138,273,50.5,7,35,20.0,72,108,66.7,28,27,29.9,43,154,197,7.0,28,27,88,3.1,50,1.8,1.8,28,27,17,0.60,28,27,82,2.90
Justyn Fernandez,https://www.on3.com/db/justyn-fernandez-147588/,SG,RS-SO,6-5,200,IMG Academy,"(Richmond, VA)",88.50,,Committed,Providence,Delaware Fightin' Blue Hens,https://www.cbssports.com/college-basketball/players/28953326/justyn-fernandez/,G,PROV,24,4,10.2,3.6,31,77,40.3,20,52,38.5,5,6,83.3,24,4,10.2,15,18,33,1.4,24,4,9,0.4,11,0.5,0.8,24,4,6,0.30,24,4,4,0.20
K.T. Raimey,https://www.on3.com/db/kt-raimey-71466/,SG,SR,6-4,175,Olathe North,"(Olathe, KS)",89.00,,Entered,The University of Texas Rio Grande Valley,,https://www.cbssports.com/college-basketball/players/28954469/kt-raimey/,G,TEXPA,28,2,19.6,9.9,91,236,38.6,48,167,28.7,47,59,79.7,28,2,19.6,9,55,64,2.3,28,2,30,1.1,34,1.2,0.9,28,2,17,0.60,28,2,2,0.10
KC Ibekwe,https://www.on3.com/db/kc-ibekwe-162824/,C,JR,6-10,195,Centennial Academy,"(Vancouver, BC)",88.00,,Entered,Washington,,https://www.cbssports.com/college-basketball/players/28967155/kc-ibekwe/,C,WASH,12,0,5.6,1.6,7,12,58.3,0,0,—,5,10,50.0,12,0,5.6,4,9,13,1.1,12,0,0,0.0,4,0.3,0.0,12,0,0,0.00,12,0,3,0.30
KJ Lewis,https://www.on3.com/db/kj-lewis-75445/,SG,SO,6-4,185,Chapin,"(El Paso, TX)",94.27,,Committed,Arizona,Georgetown Hoyas,https://www.cbssports.com/college-basketball/players/29233512/kj-lewis/,G,ARIZ,37,6,25.8,10.8,133,310,42.9,13,69,18.8,121,150,80.7,37,6,25.8,48,121,169,4.6,37,6,106,2.9,75,2.0,1.4,37,6,49,1.30,37,6,31,0.80
KJ Tenner,https://www.on3.com/db/kj-tenner-158697/,PG,FR,5-10,165,Cordova,"(Cordova, TN)",83.28,,Committed,West Virginia,Murray State Racers,https://www.cbssports.com/college-basketball/players/29558958/kj-tenner/,G,WVU,30,0,13.1,2.4,28,80,35.0,4,26,15.4,11,18,61.1,30,0,13.1,3,18,21,0.7,30,0,32,1.1,12,0.4,2.7,30,0,24,0.80,30,0,1,0.00
Kachi Nzeh,https://www.on3.com/db/kachi-nzeh-158431/,PF,SO,6-9,220,George School,"(Newtown, PA)",89.00,,Entered,Penn State,,https://www.cbssports.com/college-basketball/players/29231751/kachi-nzeh/,F,PSU,29,2,11.4,2.6,33,54,61.1,0,0,—,10,18,55.6,29,2,11.4,24,40,64,2.2,29,2,1,0.0,9,0.3,0.1,29,2,3,0.10,29,2,9,0.30
Kadyn Betts,https://www.on3.com/db/kadyn-betts-155477/,SF,RS-SO,6-8,190,Central,"(Pueblo, CO)",82.65,,Committed,Minnesota,Montana Grizzlies,https://www.cbssports.com/college-basketball/players/28952942/kadyn-betts/,F,MINN,22,0,4.8,1.4,10,22,45.5,6,15,40.0,4,8,50.0,22,0,4.8,4,6,10,0.5,22,0,0,0.0,3,0.1,0.0,22,0,1,0.00,22,0,2,0.10
Kael Combs,https://www.on3.com/db/kael-combs-151267/,SG,SO,6-4,190,Nixa,"(Nixa, MO)",,,Committed,Drake,Iowa Hawkeyes,https://www.cbssports.com/college-basketball/players/29231010/kael-combs/,G,DRAKE,31,0,12.8,3.8,46,90,51.1,3,15,20.0,24,30,80.0,31,0,12.8,19,42,61,2.0,31,0,28,0.9,27,0.9,1.0,31,0,11,0.40,31,0,2,0.10
Kaleb Banks,https://www.on3.com/db/kaleb-banks-70663/,PF,JR,6-8,215,Fayette County,"(Fayetteville, GA)",92.40,,Committed,Tulane,DePaul Blue Demons,https://www.cbssports.com/college-basketball/players/28953752/kaleb-banks/,F,TULANE,32,32,31.4,14.7,164,324,50.6,47,138,34.1,95,130,73.1,32,32,31.4,62,153,215,6.7,32,32,31,1.0,28,0.9,1.1,32,32,26,0.80,32,32,40,1.30
Kaleb Brown,https://www.on3.com/db/kaleb-brown-70674/,PG,SR,6-6,250,Lee,"(Huntsville, AL)",86.00,,Entered,California State University Fullerton,,https://www.cbssports.com/college-basketball/players/26777549/kaleb-brown/,G,CSFULL,29,11,20.9,6.2,58,158,36.7,20,70,28.6,44,59,74.6,29,11,20.9,13,78,91,3.1,29,11,49,1.7,62,2.1,0.8,29,11,18,0.60,29,11,4,0.10
Kaleb Glenn,https://www.on3.com/db/kaleb-glenn-70701/,PF,SO,6-6,200,La Lumiere School,"(Louisville, KY)",92.76,,Committed,Florida Atlantic,Michigan State Spartans,https://www.cbssports.com/college-basketball/players/29233971/kaleb-glenn/,F,FAU,34,5,25.7,12.6,154,290,53.1,48,117,41.0,73,117,62.4,34,5,25.7,60,104,164,4.8,34,5,20,0.6,41,1.2,0.5,34,5,20,0.60,34,5,10,0.30
Kaleb Smith,https://www.on3.com/db/kaleb-smith-250615/,PF,SO,6-9,200,Damien,"(Rancho Cucamonga, CA)",,,Entered,University of California Riverside,,https://www.cbssports.com/college-basketball/players/28954202/kaleb-smith/,F,UCRIV,34,34,26.7,11.0,126,344,36.6,58,176,33.0,64,84,76.2,34,34,26.7,41,114,155,4.6,34,34,33,1.0,56,1.6,0.6,34,34,21,0.60,34,34,0,0.00
Kalifa Sakho,https://www.on3.com/db/kalifa-sakho-174457/,PF,JR,6-11,220,,"(Levelland, TX)",89.00,,Entered,Sam Houston State,,https://www.cbssports.com/college-basketball/players/29231037/kalifa-sakho/,F,SAMHOU,32,32,25.1,7.9,107,161,66.5,0,0,—,40,83,48.2,32,32,25.1,78,125,203,6.3,32,32,17,0.5,35,1.1,0.5,32,32,13,0.40,32,32,45,1.40
Kalil Camara,https://www.on3.com/db/kalil-camara-250178/,SF,SR,6-7,175,Our Savior New American School,"(Bronx, NY)",,,Entered,Bethune Cookman,,https://www.cbssports.com/college-basketball/players/29556684/kalil-camara/,F,BCU,32,13,23.9,7.7,79,188,42.0,43,126,34.1,44,58,75.9,32,13,23.9,55,73,128,4.0,32,13,32,1.0,32,1.0,1.0,32,13,41,1.30,32,13,7,0.20
Kam Craft,https://www.on3.com/db/kam-craft-147637/,SG,JR,6-5,180,The Skill Factory,"(Atlanta, GA)",91.23,,Committed,Miami (OH),Georgia Tech Yellow Jackets,https://www.cbssports.com/college-basketball/players/28954112/kam-craft/,G,MIAOH,34,34,25.7,13.6,170,381,44.6,97,225,43.1,25,33,75.8,34,34,25.7,20,82,102,3.0,34,34,35,1.0,39,1.1,0.9,34,34,15,0.40,34,34,6,0.20
Kam Williams,https://www.on3.com/db/kam-williams-150971/,SF,FR,6-8,190,Lafayette Christian Academy,"(Lafayette, LA)",94.37,,Committed,Tulane,Kentucky Wildcats,https://www.cbssports.com/college-basketball/players/29557314/kam-williams/,G,TULANE,33,28,32.3,9.3,112,231,48.5,63,153,41.2,19,25,76.0,33,28,32.3,23,125,148,4.5,33,28,44,1.3,28,0.8,1.6,33,28,46,1.40,33,28,34,1.00
Kameren Wright,https://www.on3.com/db/kameren-wright-175986/,CG,FR,6-6,185,The Rock School,"(Gainesville, FL)",86.42,,Entered,USF,,https://www.cbssports.com/college-basketball/players/29558739/kameren-wright/,G,SFLA,7,0,11.4,2.7,8,23,34.8,1,10,10.0,2,2,100.0,7,0,11.4,9,11,20,2.9,7,0,6,0.9,2,0.3,3.0,7,0,4,0.60,7,0,0,0.00
Kanaan Carlyle,https://www.on3.com/db/kanaan-carlyle-71136/,CG,SO,6-2,175,Overtime Elite,"(Alpharetta, GA)",90.18,,Entered,Indiana,,https://www.cbssports.com/college-basketball/players/29231928/kanaan-carlyle/,G,IND,25,6,16.2,4.0,39,135,28.9,17,70,24.3,6,14,42.9,25,6,16.2,8,33,41,1.6,25,6,30,1.2,17,0.7,1.8,25,6,13,0.50,25,6,5,0.20
Kanon Catchings,https://www.on3.com/db/kanon-catchings-159040/,SF,FR,6-9,200,Brownsburg,"(Indianapolis, IN)",93.10,,Committed,BYU,Georgia Bulldogs,https://www.cbssports.com/college-basketball/players/29556537/kanon-catchings/,F,BYU,31,15,17.4,7.2,76,185,41.1,43,123,35.0,27,46,58.7,31,15,17.4,19,48,67,2.2,31,15,21,0.7,24,0.8,0.9,31,15,18,0.60,31,15,13,0.40
Kanye Clary,https://www.on3.com/db/kanye-clary-147016/,PG,JR,5-11,192,Massanutten Military Academy,"(Woodstock, VA)",89.43,,Committed,Mississippi State,Oklahoma State Cowboys,https://www.cbssports.com/college-basketball/players/28953755/kanye-clary/,G,MISSST,7,4,18.9,6.3,14,38,36.8,2,10,20.0,14,20,70.0,7,4,18.9,0,9,9,1.3,7,4,18,2.6,5,0.7,3.6,7,4,8,1.10,7,4,0,0.00
Kareem Rozier,https://www.on3.com/db/kareem-rozier-174023/,CG,JR,5-9,160,Orchard Lake St. Mary's Prep,"(Detroit, MI)",,,Entered,Duquesne,,https://www.cbssports.com/college-basketball/players/28955159/kareem-rozier/,G,DUQ,32,10,26.5,6.7,68,203,33.5,35,111,31.5,44,62,71.0,32,10,26.5,7,54,61,1.9,32,10,105,3.3,34,1.1,3.1,32,10,34,1.10,32,10,1,0.00
Karon Boyd,https://www.on3.com/db/karon-boyd-250073/,SF,SO,6-5,218,Cannon School,"(Concord, NC)",89.00,,Committed,East Tennessee State,Wichita State Shockers,https://www.cbssports.com/college-basketball/players/29231073/karon-boyd/,F,ETNST,31,27,30.5,8.7,97,223,43.5,13,54,24.1,62,99,62.6,31,27,30.5,90,133,223,7.2,31,27,33,1.1,43,1.4,0.8,31,27,28,0.90,31,27,28,0.90
Kasen Jennings,https://www.on3.com/db/kasen-jennings-144856/,CG,SR,6-3,202,The Heritage School,"(Newnan, GA)",,,Committed,USF,Appalachian State Mountaineers,https://www.cbssports.com/college-basketball/players/3178536/kasen-jennings/,G,SFLA,31,27,24.5,7.1,71,194,36.6,35,109,32.1,42,58,72.4,31,27,24.5,9,50,59,1.9,31,27,57,1.8,34,1.1,1.7,31,27,18,0.60,31,27,1,0.00
Kayde Dotson,https://www.on3.com/db/kayde-dotson-152459/,CG,FR,6-1,175,Beaumont United,"(Beaumont, TX)",,,Committed,New Mexico,Loyola (Chi) Ramblers,https://www.cbssports.com/college-basketball/players/29559756/kayde-dotson/,G,NMEX,32,0,6.6,2.3,25,60,41.7,15,36,41.7,10,16,62.5,32,0,6.6,1,11,12,0.4,32,0,24,0.8,15,0.5,1.6,32,0,13,0.40,32,0,2,0.10
Kayden Fish,https://www.on3.com/db/kayden-fish-157865/,PF,RS-FR,6-6,250,Staley,"(Kansas City, MO)",88.00,,Committed,Iowa State,Ball State Cardinals,https://www.cbssports.com/college-basketball/players/29230800/kayden-fish/,F,IOWAST,9,0,2,0.7,2,5,40.0,0,0,—,2,3,66.7,9,0,2,1,2,3,0.3,9,0,0,0.0,3,0.3,0.0,9,0,1,0.10,9,0,1,0.10
Kayvaun Mulready,https://www.on3.com/db/kayvaun-mulready-155483/,SG,FR,6-4,210,Worcester Academy,"(Worcester, MA)",93.80,,Entered,Georgetown,,https://www.cbssports.com/college-basketball/players/29559594/kayvaun-mulready/,G,GTOWN,22,0,7.8,1.4,10,33,30.3,6,23,26.1,5,8,62.5,22,0,7.8,5,10,15,0.7,22,0,9,0.4,4,0.2,2.3,22,0,8,0.40,22,0,1,0.00
KeShawn Murphy,https://www.on3.com/db/keshawn-murphy-73805/,PF,RS-JR,6-10,235,Ramsay,"(Birmingham, AL)",95.31,,Committed,Mississippi State,Auburn Tigers,https://www.cbssports.com/college-basketball/players/26808223/keshawn-murphy/,F,MISSST,34,3,24,11.7,167,295,56.6,4,27,14.8,60,97,61.9,34,3,24,79,171,250,7.4,34,3,54,1.6,52,1.5,1.0,34,3,31,0.90,34,3,38,1.10
Keanu Dawes,https://www.on3.com/db/keanu-dawes-150253/,PF,SO,6-8,205,Stratford,"(Houston, TX)",90.14,,Withdrawn,Utah,Utah,https://www.cbssports.com/college-basketball/players/29234434/keanu-dawes/,F,UTAH,31,2,18.6,8.3,89,145,61.4,12,35,34.3,68,90,75.6,31,2,18.6,61,138,199,6.4,31,2,30,1.0,31,1.0,1.0,31,2,18,0.60,31,2,14,0.50
Keaton Norris,https://www.on3.com/db/keaton-norris-250552/,PG,SR,6-0,175,Hilliard Bradley,"(Hilliard, OH)",,,Committed,Wright State,Lipscomb Bisons,https://www.cbssports.com/college-basketball/players/26777480/keaton-norris/,G,WRIGHT,29,29,30.4,7.5,75,169,44.4,43,96,44.8,25,31,80.6,29,29,30.4,10,74,84,2.9,29,29,127,4.4,52,1.8,2.4,29,29,34,1.20,29,29,1,0.00
Keeyan Itejere,https://www.on3.com/db/keeyan-itejere-145392/,PF,RS-JR,6-9,205,Grace Christian School,"(Raleigh, NC)",88.50,,Committed,Northern Kentucky,Rhode Island Rams,https://www.cbssports.com/college-basketball/players/26776640/keeyan-itejere/,F,NKY,33,32,26.8,7.3,103,174,59.2,0,0,—,36,62,58.1,33,32,26.8,75,106,181,5.5,33,32,22,0.7,41,1.2,0.5,33,32,20,0.60,33,32,53,1.60
Keionte Cornelius,https://www.on3.com/db/keionte-cornelius-250188/,PG,SR,6-0,190,Spring,"(Flint, MI)",,,Entered,Alcorn State,,https://www.cbssports.com/college-basketball/players/28954634/keionte-cornelius/,G,ALCORN,24,0,17.5,10.0,78,212,36.8,58,152,38.2,26,31,83.9,24,0,17.5,5,21,26,1.1,24,0,6,0.3,24,1.0,0.3,24,0,2,0.10,24,0,0,0.00
Keitenn Bristow,https://www.on3.com/db/keitenn-bristow-235854/,PF,FR,6-8,,Holliday,"(Wichita Falls, TX)",84.60,,Entered,Tarleton State,,https://www.cbssports.com/college-basketball/players/29569102/keitenn-bristow/,F,TRLST,23,19,26.4,11.3,100,217,46.1,21,65,32.3,39,49,79.6,23,19,26.4,32,67,99,4.3,23,19,32,1.4,59,2.6,0.5,23,19,25,1.10,23,19,20,0.90
"Keith Higgins, Jr.",https://www.on3.com/db/keith-higgins-jr-72109/,SG,SR,6-3,165,Chaminade,"(West Hills, CA)",92.57,,Entered,Lehigh,,https://www.cbssports.com/college-basketball/players/26779178/keith-higgins-jr/,G,LEHIGH,12,12,32.8,17.9,75,162,46.3,34,79,43.0,31,47,66.0,12,12,32.8,5,55,60,5.0,12,12,17,1.4,15,1.3,1.1,12,12,11,0.90,12,12,7,0.60
Kendall Blue,https://www.on3.com/db/kendall-blue-72711/,SG,JR,6-4,175,East Ridge,"(Saint Paul, MN)",91.52,,Committed,St. Thomas,Nebraska Cornhuskers,https://www.cbssports.com/college-basketball/players/28954046/kendall-blue/,G,STTHMN,34,34,27,12.3,157,308,51.0,55,132,41.7,49,67,73.1,34,34,27,11,140,151,4.4,34,34,82,2.4,56,1.6,1.5,34,34,34,1.00,34,34,15,0.40
Kennard Davis,https://www.on3.com/db/kennard-davis-155460/,SF,SO,6-5,185,Vashon,"(Saint Louis, MO)",93.64,,Entered,Southern Illinois,,https://www.cbssports.com/college-basketball/players/29233881/kennard-davis-jr/,G,SILL,32,31,34.1,16.3,177,389,45.5,64,170,37.6,103,135,76.3,32,31,34.1,46,111,157,4.9,32,31,83,2.6,72,2.3,1.2,32,31,41,1.30,32,31,7,0.20
Kenny Noland,https://www.on3.com/db/kenny-noland-250122/,SG,JR,6-2,180,The Hotchkiss School,"(Apex, NC)",88.00,,Withdrawn,Columbia,Columbia,https://www.cbssports.com/college-basketball/players/28952840/kenny-noland/,G,CLMB,27,26,31.5,12.7,136,289,47.1,48,129,37.2,23,34,67.6,27,26,31.5,17,76,93,3.4,27,26,90,3.3,40,1.5,2.3,27,26,32,1.20,27,26,4,0.10
Kenyon Giles,https://www.on3.com/db/kenyon-giles-147633/,PG,JR,5-11,165,Oscar Smith,"(Chesapeake, VA)",87.27,,Entered,UNC Greensboro,,https://www.cbssports.com/college-basketball/players/28954919/kenyon-giles/,G,NCGRN,30,28,29.6,15.3,167,372,44.9,80,199,40.2,45,57,78.9,30,28,29.6,9,79,88,2.9,30,28,54,1.8,22,0.7,2.5,30,28,33,1.10,30,28,3,0.10
Keonte Jones,https://www.on3.com/db/keonte-jones-250377/,SF,SR,6-6,192,East,"(Madison, WI)",92.77,,Committed,California State University Northridge,USC Trojans,https://www.cbssports.com/college-basketball/players/29234455/keonte-jones/,F,CSN,33,33,30.8,13.1,156,308,50.6,13,34,38.2,108,160,67.5,33,33,30.8,90,207,297,9.0,33,33,136,4.1,87,2.6,1.6,33,33,61,1.80,33,33,42,1.30
Kernan Bundy,https://www.on3.com/db/kernan-bundy-250151/,CG,JR,6-3,190,Blue Valley North,"(Overland Park, KS)",,,Entered,Iona,,https://www.cbssports.com/college-basketball/players/29555301/kernan-bundy/,G,IONA,31,5,15.2,3.2,30,82,36.6,16,42,38.1,23,26,88.5,31,5,15.2,44,40,84,2.7,31,5,32,1.0,21,0.7,1.5,31,5,16,0.50,31,5,3,0.10
Kerr Kriisa,https://www.on3.com/db/kerr-kriisa-73703/,PG,SR,6-3,190,Estonia,(Tartu),90.86,,Committed,Kentucky,Cincinnati Bearcats,https://www.cbssports.com/college-basketball/players/3178197/kerr-kriisa/,G,UK,9,1,17.3,4.4,12,43,27.9,10,38,26.3,6,7,85.7,9,1,17.3,6,16,22,2.4,9,1,34,3.8,9,1.0,3.8,9,1,4,0.40,9,1,2,0.20
Ketron Shaw,https://www.on3.com/db/ketron-shaw-250314/,SG,JR,6-5,190,Mooresville,"(Charlotte, NC)",89.00,,Committed,Maryland Eastern Shore,Old Dominion Monarchs,https://www.cbssports.com/college-basketball/players/29555574/ketron-shaw/,G,UMES,29,28,35.3,18.0,176,388,45.4,13,50,26.0,158,239,66.1,29,28,35.3,38,134,172,5.9,29,28,91,3.1,92,3.2,1.0,29,28,27,0.90,29,28,11,0.40
Kevin Overton,https://www.on3.com/db/kevin-overton-176075/,SG,SO,6-3,180,Sunrise Christian Academy,"(Wichita, KS)",92.69,,Committed,Texas Tech,Auburn Tigers,https://www.cbssports.com/college-basketball/players/29232402/kevin-overton/,G,TXTECH,36,1,22.3,7.8,95,225,42.2,39,118,33.1,53,68,77.9,36,1,22.3,32,100,132,3.7,36,1,32,0.9,33,0.9,1.0,36,1,18,0.50,36,1,6,0.20
Kevin Patton Jr.,https://www.on3.com/db/kevin-patton-jr-147223/,CG,SO,6-6,190,Rancho Christian,"(Chandler, AZ)",89.25,,Committed,USC,New Mexico Lobos,https://www.cbssports.com/college-basketball/players/29254011/kevin-patton-jr/,G,USC,27,2,8,3.1,32,57,56.1,6,17,35.3,13,22,59.1,27,2,8,9,24,33,1.2,27,2,11,0.4,14,0.5,0.8,27,2,11,0.40,27,2,12,0.40
Keyshawn Hall,https://www.on3.com/db/keyshawn-hall-150056/,SF,JR,6-7,240,The Skill Factory,"(Cleveland, OH)",96.22,,Committed,UCF,Auburn Tigers,https://www.cbssports.com/college-basketball/players/28955426/keyshawn-hall/,G,UCF,33,33,33.4,18.8,188,440,42.7,45,127,35.4,199,244,81.6,33,33,33.4,68,166,234,7.1,33,33,80,2.4,99,3.0,0.8,33,33,27,0.80,33,33,15,0.50
Keyshawn Mitchell,https://www.on3.com/db/keyshawn-mitchell-250446/,PF,SO,6-11,215,First Love Christian Academy,"(Brooklyn, NY)",,,Entered,Bryant University,,https://www.cbssports.com/college-basketball/players/29233344/keyshawn-mitchell/,F,BRYANT,35,34,20.4,8.5,119,227,52.4,19,60,31.7,42,73,57.5,35,34,20.4,96,142,238,6.8,35,34,22,0.6,36,1.0,0.6,35,34,13,0.40,35,34,26,0.70
Kezza Giffa,https://www.on3.com/db/kezza-giffa-250418/,SG,SR,6-2,175,Metropolitans 92,(Paris),91.11,,Entered,High Point,,https://www.cbssports.com/college-basketball/players/26775971/kezza-giffa/,G,HIGHPT,34,34,28.2,14.6,149,339,44.0,40,128,31.3,160,188,85.1,34,34,28.2,15,71,86,2.5,34,34,84,2.5,57,1.7,1.5,34,34,13,0.40,34,34,1,0.00
Khalil Badru,https://www.on3.com/db/khalil-badru-250262/,SG,FR,6-5,192,The Newman School,"(New Britain, CT)",,,Entered,New Hampshire,,https://www.cbssports.com/college-basketball/players/29559432/khalil-badru/,G,NH,32,21,22.4,8.6,114,225,50.7,12,39,30.8,34,72,47.2,32,21,22.4,54,95,149,4.7,32,21,22,0.7,39,1.2,0.6,32,21,34,1.10,32,21,4,0.10
Khalil Brantley,https://www.on3.com/db/khalil-brantley-74862/,PG,SR,6-0,165,Boys & Girls,"(Brooklyn, NY)",90.00,,Entered,Oklahoma State,,https://www.cbssports.com/college-basketball/players/26776190/khalil-brantley/,G,OKLAST,34,14,20.1,6.2,66,161,41.0,13,37,35.1,67,89,75.3,34,14,20.1,27,63,90,2.6,34,14,80,2.4,60,1.8,1.3,34,14,32,0.90,34,14,5,0.10
Khaman Maker,https://www.on3.com/db/khaman-maker-158736/,C,FR,7-1,215,Trinity International Schools,"(Las Vegas, NV)",91.57,,Committed,St. John's,DePaul Blue Demons,https://www.cbssports.com/college-basketball/players/29556321/khaman-maker/,C,STJOHN,1,0,3,0.0,0,0,—,0,0,—,0,1,0.0,1,0,3,1,0,1,1.0,1,0,0,0.0,0,0.0,—,1,0,0,0.00,1,0,0,0.00
Khamari McGriff,https://www.on3.com/db/khamari-mcgriff-250338/,PF,RS-JR,6-9,210,James Rickards,"(Tallahassee, FL)",89.00,,Committed,University of North Carolina Wilmington,Kansas State Wildcats,https://www.cbssports.com/college-basketball/players/26776796/khamari-mcgriff/,F,NCWILM,34,12,19.2,11.5,164,252,65.1,2,3,66.7,61,88,69.3,34,12,19.2,53,83,136,4.0,34,12,23,0.7,33,1.0,0.7,34,12,13,0.40,34,12,39,1.10
Kimani Hamilton,https://www.on3.com/db/kimani-hamilton-75209/,PF,JR,6-7,215,Clinton,"(Clinton, MS)",90.43,,Entered,High Point,,https://www.cbssports.com/college-basketball/players/28952474/kimani-hamilton/,F,HIGHPT,35,35,24.1,13.1,159,306,52.0,28,87,32.2,112,155,72.3,35,35,24.1,65,96,161,4.6,35,35,77,2.2,64,1.8,1.2,35,35,34,1.00,35,35,15,0.40
Kobe Jerome,https://www.on3.com/db/kobe-jerome-250085/,SG,RS-JR,6-4,190,Blue Ridge School,"(Harlem, NY)",,,Entered,Delaware,,https://www.cbssports.com/college-basketball/players/26778557/kobe-jerome/,G,DEL,10,0,4.7,0.7,3,11,27.3,1,9,11.1,0,1,0.0,10,0,4.7,0,3,3,0.3,10,0,6,0.6,2,0.2,3.0,10,0,1,0.10,10,0,0,0.00
Kobe Knox,https://www.on3.com/db/kobe-knox-75544/,SG,RS-JR,6-4,160,Tampa Catholic,"(Tampa, FL)",89.88,,Committed,USF,South Carolina Gamecocks,https://www.cbssports.com/college-basketball/players/26777195/kobe-knox/,G,SFLA,30,22,28.6,10.8,119,257,46.3,40,121,33.1,46,60,76.7,30,22,28.6,35,57,92,3.1,30,22,48,1.6,21,0.7,2.3,30,22,34,1.10,30,22,12,0.40
Kobe Magee,https://www.on3.com/db/kobe-magee-189091/,SG,JR,6-6,205,Executive Education Academy,"(Allentown, PA)",93.32,,Committed,Drexel,Florida State Seminoles,https://www.cbssports.com/college-basketball/players/28952675/kobe-magee/,G,DREXEL,33,33,33.7,14.0,168,356,47.2,82,187,43.9,43,57,75.4,33,33,33.7,45,139,184,5.6,33,33,64,1.9,67,2.0,1.0,33,33,34,1.00,33,33,5,0.20
Kolby King,https://www.on3.com/db/kolby-king-147624/,PG,JR,6-2,170,Pembroke Pines Charter,"(Fort Lauderdale, FL)",83.83,,Entered,Butler,,https://www.cbssports.com/college-basketball/players/28955594/kolby-king/,G,BUTLER,34,4,18.8,5.6,64,145,44.1,26,65,40.0,35,50,70.0,34,4,18.8,17,115,132,3.9,34,4,57,1.7,49,1.4,1.2,34,4,21,0.60,34,4,4,0.10
Koree Cotton,https://www.on3.com/db/koree-cotton-241344/,SG,SO,6-6,,Miami Southridge,"(Miami, FL)",,,Entered,Jacksonville State,,https://www.cbssports.com/college-basketball/players/29232711/koree-cotton/,G,JAXST,36,34,25.5,7.3,84,222,37.8,39,129,30.2,54,68,79.4,36,34,25.5,20,95,115,3.2,36,34,58,1.6,41,1.1,1.4,36,34,42,1.20,36,34,13,0.40
Koren Johnson,https://www.on3.com/db/koren-johnson-145349/,PG,JR,6-2,175,Wasatch Academy,"(Seattle, WA)",91.23,,Committed,Louisville,Ole Miss Rebels,https://www.cbssports.com/college-basketball/players/28955891/koren-johnson/,G,LVILLE,2,0,20,3.0,3,11,27.3,0,4,0.0,0,0,—,2,0,20,1,2,3,1.5,2,0,5,2.5,1,0.5,5.0,2,0,3,1.50,2,0,0,0.00
Kory Mincy,https://www.on3.com/db/kory-mincy-250336/,PG,SO,6-2,180,Tri-Cities,"(East Point, GA)",89.00,,Entered,Presbyterian,,https://www.cbssports.com/college-basketball/players/29232057/kory-mincy/,G,PRESBY,33,33,31.7,15.1,167,414,40.3,63,170,37.1,102,129,79.1,33,33,31.7,12,74,86,2.6,33,33,139,4.2,74,2.2,1.9,33,33,51,1.50,33,33,3,0.10
Kris Parker,https://www.on3.com/db/kris-parker-76054/,SG,RS-FR,6-7,185,Crossroad Academy,"(Quincy, FL)",92.39,,Entered,Villanova,,https://www.cbssports.com/college-basketball/players/29233020/kris-parker/,G,NOVA,27,0,10,2.6,24,55,43.6,5,25,20.0,18,30,60.0,27,0,10,9,29,38,1.4,27,0,13,0.5,16,0.6,0.8,27,0,5,0.20,27,0,5,0.20
