name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
James Evans,https://www.on3.com/db/james-evans-150945/,SF,FR,6-5,205,West Ranch,"(Stevenson Ranch, CA)",86.00,,Entered,UNLV,N/A
Owen Freeman,https://www.on3.com/db/owen-freeman-94787/,C,SO,6-10,220,Moline,"(Moline, IL)",96.21,$1.6M,Entered,Iowa,Creighton
Isaiah Cottrell,https://www.on3.com/db/isaiah-cottrell-49428/,PF,RS-SR,6-9,215,Huntington Prep,"(Huntington, WV)",88.00,,Entered,UNLV,N/A
Brandon Haddock,https://www.on3.com/db/brandon-haddock-161721/,PG,SR,6-1,173,Southlake Carroll,"(Southlake, TX)",,,Entered,Utah,N/A
Jeremiah Burke,https://www.on3.com/db/jeremiah-burke-250108/,SF,SR,6-7,215,Saint Francis,"(Milwaukee, WI)",,,Entered,North Dakota State,N/A
Zarique Nutter,https://www.on3.com/db/zarique-nutter-123607/,CG,SR,6-6,190,Hillcrest Prep,"(Phoenix, AZ)",89.95,,Entered,Georgia State,N/A
Okechukwu Okeke,https://www.on3.com/db/okechukwu-okeke-250107/,PF,SR,6-9,235,East Chicago Central,"(East Chicago, IN)",,,Entered,FIU,N/A
Jake Wahlin,https://www.on3.com/db/jake-wahlin-53927/,PF,SO,6-7,180,Timpview,"(Provo, UT)",89.00,,Entered,Utah,Clemson
Wesley Johnson,https://www.on3.com/db/wesley-johnson-250105/,C,JR,7-0,230,Leesville Road,"(Raleigh, NC)",,,Entered,Campbell,N/A
Colby Duggan,https://www.on3.com/db/colby-duggan-250104/,SF,SO,6-7,220,Phillips Academy,"(Monson, MA)",88.50,,Entered,Campbell,College of Charleston
Tyler Cochran,https://www.on3.com/db/tyler-cochran-117456/,CG,SR,6-2,220,Bolingbrook,"(Bolingbrook, IL)",87.00,,Entered,Minnesota,N/A
Jamir Simpson,https://www.on3.com/db/jamir-simpson-250103/,SF,RS-SR,6-5,205,Lima,"(Lima, OH)",88.00,,Entered,Southern Utah,N/A
Sean Smith,https://www.on3.com/db/sean-smith-250102/,SG,SR,6-3,185,Central,"(Louisville, KY)",84.00,,Entered,Western Illinois,N/A
Jaxon Pollard,https://www.on3.com/db/jaxon-pollard-58339/,PF,SR,6-7,225,Lone Peak,"(American Fork, UT)",,,Entered,Queens College,N/A
Jalen Cooper,https://www.on3.com/db/jalen-cooper-250101/,SF,SR,6-6,200,Anclote,"(Saint Petersburg, FL)",,,Entered,California State University Fullerton,N/A
Bernie Blunt III,https://www.on3.com/db/bernie-blunt-iii-250100/,PG,SR,5-11,180,The Peddie School,"(Morgantown, PA)",85.00,,Entered,Mercyhurst College,N/A
Di'Andre Howell-South,https://www.on3.com/db/diandre-howell-south-178764/,SG,RS-JR,6-4,200,Immaculate Conception,"(Paterson, NJ)",,,Entered,Wagner,N/A
Churchill Bounds,https://www.on3.com/db/churchill-bounds-178400/,C,SR,6-10,260,Bishop Walsh School,"(Cumberland, MD)",,,Entered,Wagner,N/A
Zae Blake,https://www.on3.com/db/zae-blake-250099/,PG,SR,6-1,180,Hargrave Military Academy (HS),"(Washington, DC)",86.00,,Entered,Wagner,N/A
Tyje Kelton,https://www.on3.com/db/tyje-kelton-250098/,SF,SR,6-7,210,Covenant College Prep,"(Dunellen, NJ)",,,Entered,Wagner,N/A
Jalen Jackson,https://www.on3.com/db/jalen-jackson-178441/,PG,JR,6-2,200,Northrop,"(Fort Wayne, IN)",93.89,,Entered,Purdue University Fort Wayne,Butler
Dezmond McKinney,https://www.on3.com/db/dezmond-mckinney-36822/,SG,SR,6-1,165,Raytown South,"(Kansas City, MO)",,,Entered,Bellarmine,N/A
Rahmir Moore,https://www.on3.com/db/rahmir-moore-98003/,SG,SR,6-3,205,RISE Prep,"(Philadelphia, PA)",,,Entered,Wagner,N/A
Chris Kuzemka,https://www.on3.com/db/chris-kuzemka-200894/,PG,SR,6-0,183,Centreville,,,,Entered,Loyola Maryland,N/A
Cameron Palesse,https://www.on3.com/db/cameron-palesse-18014/,PG,RS-JR,6-3,175,Waukesha West,"(Waukesha, WI)",,,Entered,Canisius University,N/A
Kobe Jerome,https://www.on3.com/db/kobe-jerome-250085/,SG,RS-JR,6-4,190,Blue Ridge School,"(Harlem, NY)",,,Entered,Delaware,N/A
Rahdir Hicks,https://www.on3.com/db/rahdir-hicks-217089/,PG,SR,6-0,180,Malvern Prep,,,,Entered,Towson,N/A
Ben Johnson,https://www.on3.com/db/ben-johnson-250077/,SG,RS-JR,6-3,195,Lexington Catholic,"(Lexington, KY)",84.00,,Entered,Bellarmine,N/A
Amar Kuljuhovic,https://www.on3.com/db/amar-kuljuhovic-250079/,PF,SR,6-8,225,Waterloo West,"(Waterloo, IA)",85.00,,Entered,North Dakota,N/A
Billy Smith,https://www.on3.com/db/billy-smith-147719/,CG,JR,6-7,200,Brebeuf Jesuit Preparatory School,"(Indianapolis, IN)",89.00,,Entered,Bellarmine,N/A
Curt Hopf,https://www.on3.com/db/curt-hopf-27073/,PF,SR,6-7,190,Forest Park Jr-sr Sch,"(Ferdinand, IN)",,,Entered,Bellarmine,N/A
Louis Lesmond,https://www.on3.com/db/louis-lesmond-80222/,SG,SR,6-5,190,Notre Dame College Prep,"(Evanston, IL)",85.00,,Entered,Harvard,N/A
Landin Hacker,https://www.on3.com/db/landin-hacker-250075/,PG,RS-JR,6-0,185,Center Grove,"(Greenwood, IN)",,,Entered,Bellarmine,N/A
Gianni Cobb,https://www.on3.com/db/gianni-cobb-250074/,PG,FR,6-0,150,Homewood-Flossmoor,"(Chicago, IL)",,,Entered,Columbia,N/A
Zaire Williams,https://www.on3.com/db/zaire-williams-154961/,SG,SR,6-4,200,Eagle Academy For Young Men,"(Bronx, NY)",86.00,,Entered,Wagner,N/A
Will Johnston,https://www.on3.com/db/will-johnston-179050/,PG,SR,6-3,180,Perkiomen School,"(Sydney, NSW)",89.45,,Entered,Loyola Marymount,N/A
